time,frequency,confidence
0.000,206.397,0.239891
0.004,205.160,0.263125
0.008,204.134,0.321600
0.012,204.517,0.258418
0.016,204.214,0.357985
0.020,204.294,0.503191
0.024,204.552,0.673004
0.028,204.535,0.692032
0.032,205.049,0.689547
0.036,205.232,0.683539
0.040,204.622,0.654086
0.044,205.157,0.716194
0.048,205.314,0.746596
0.052,205.172,0.753215
0.056,205.242,0.787198
0.060,205.394,0.774850
0.064,205.738,0.799304
0.068,205.625,0.779251
0.072,205.745,0.651856
0.076,206.027,0.714682
0.080,205.970,0.630951
0.084,206.138,0.586772
0.088,206.915,0.556543
0.092,206.636,0.497981
0.096,206.040,0.364894
0.100,205.202,0.314519
0.104,204.918,0.217208
0.108,203.813,0.186561
0.112,203.055,0.179799
0.116,203.779,0.165667
0.120,203.449,0.121665
0.124,204.183,0.100987
0.128,205.541,0.089011
0.132,206.221,0.129917
0.136,206.009,0.235694
0.140,206.151,0.285907
0.144,206.205,0.246436
0.148,199.391,0.397088
0.152,176.275,0.426402
0.156,165.139,0.489086
0.160,151.443,0.501880
0.164,141.191,0.429728
0.168,135.476,0.519474
0.172,121.197,0.443929
0.176,110.191,0.383679
0.180,102.950,0.255189
0.184,100.670,0.214465
0.188,92.761,0.307170
0.192,85.071,0.525804
0.196,80.396,0.339244
0.200,72.533,0.238821
0.204,69.582,0.190823
0.208,69.378,0.261045
0.212,69.164,0.477981
0.216,69.075,0.589366
0.220,68.867,0.628523
0.224,68.947,0.528562
0.228,68.714,0.690865
0.232,68.619,0.692282
0.236,68.550,0.676714
0.240,68.480,0.652242
0.244,68.392,0.604464
0.248,68.091,0.519114
0.252,67.674,0.308527
0.256,67.686,0.319980
0.260,67.690,0.285687
0.264,66.599,0.299767
0.268,66.013,0.387045
0.272,66.344,0.521664
0.276,66.340,0.598992
0.280,66.557,0.622532
0.284,66.800,0.715567
0.288,66.713,0.720728
0.292,66.614,0.652768
0.296,66.400,0.522275
0.300,66.024,0.405308
0.304,65.506,0.499041
0.308,64.490,0.441656
0.312,63.397,0.286113
0.316,62.782,0.158740
0.320,62.115,0.290877
0.324,61.863,0.390832
0.328,61.612,0.467250
0.332,61.765,0.378194
0.336,61.729,0.179217
0.340,66.858,0.351464
0.344,74.192,0.218601
0.348,82.210,0.100555
0.352,89.165,0.138217
0.356,100.089,0.189309
0.360,105.736,0.425955
0.364,120.062,0.411081
0.368,131.165,0.297806
0.372,139.490,0.383155
0.376,156.931,0.351346
0.380,169.020,0.248871
0.384,192.830,0.189647
0.388,205.875,0.158348
0.392,207.096,0.434025
0.396,208.209,0.458845
0.400,208.354,0.601128
0.404,208.386,0.645680
0.408,208.436,0.635267
0.412,208.114,0.517534
0.416,207.585,0.643052
0.420,207.395,0.734023
0.424,207.347,0.778606
0.428,206.790,0.841077
0.432,206.290,0.861632
0.436,206.195,0.854428
0.440,206.033,0.824883
0.444,206.184,0.829350
0.448,206.424,0.814382
0.452,206.362,0.838325
0.456,206.206,0.862082
0.460,206.259,0.838583
0.464,206.171,0.837389
0.468,206.047,0.825324
0.472,205.987,0.837083
0.476,206.202,0.842277
0.480,206.431,0.854559
0.484,206.657,0.863049
0.488,206.692,0.861628
0.492,206.868,0.846329
0.496,206.865,0.850992
0.500,206.805,0.840683
0.504,206.316,0.848810
0.508,205.832,0.839824
0.512,205.146,0.820454
0.516,204.428,0.824003
0.520,204.114,0.820996
0.524,204.400,0.793625
0.528,204.865,0.805778
0.532,205.188,0.820929
0.536,205.340,0.815714
0.540,205.343,0.809100
0.544,205.558,0.783521
0.548,205.039,0.750848
0.552,204.787,0.736023
0.556,204.601,0.727280
0.560,204.507,0.711177
0.564,204.999,0.676602
0.568,205.356,0.665330
0.572,206.195,0.734392
0.576,206.624,0.781736
0.580,206.773,0.769918
0.584,206.416,0.786101
0.588,206.046,0.737844
0.592,205.711,0.718388
0.596,205.134,0.698017
0.600,205.258,0.676934
0.604,205.192,0.683913
0.608,205.311,0.692845
0.612,205.756,0.659478
0.616,206.751,0.631360
0.620,207.933,0.615026
0.624,208.129,0.625167
0.628,207.696,0.562643
0.632,207.479,0.560280
0.636,207.111,0.622001
0.640,206.542,0.657398
0.644,206.272,0.636562
0.648,206.248,0.605874
0.652,205.662,0.582758
0.656,205.626,0.604350
0.660,205.836,0.632470
